item_id,name,category,size,initial_position,new_position
41,Steel Drum (200L),chemicals,L,"(10,2,1-3)","(30,1,2-4)"
42,Frozen Chicken Wings (2kg),frozen,M,"(4,1,1-2)","(5,2,3-4)"
43,Orange Juice (1L),beverages,M,"(8,3,3-4)","(16,2,4-5)"
44,Water Bottle (500ml),beverages,S,"(11,3,3)","(18,2,1)"
45,Vacuum Cleaner,household goods,M,"(18,1,3-4)","(22,1,4-5)"
46,Blender,household goods,M,"(21,1,2-3)","(29,3,1-2)"
47,Bulk Rice Sack (100kg),food,L,"(27,2,3-5)","(7,1,3-5)"
48,Orange Juice (1L),beverages,M,"(32,3,1-2)","(28,2,2-3)"
49,Water Bottle (500ml),beverages,S,"(33,2,3)","(16,1,1)"
50,Heavy Machinery Part,household goods,L,"(10,1,1-3)","(17,1,3-5)"
51,Heavy Machinery Part,household goods,L,"(29,2,2-4)","(9,1,3-5)"
52,Milk (1L),beverages,M,"(35,3,2-3)","(13,1,4-5)"
53,Vacuum Cleaner,household goods,M,"(34,1,1-2)","(34,2,1-2)"
54,Rice Pack,food,M,"(32,3,4-5)","(15,3,1-2)"
55,Vacuum Cleaner,household goods,M,"(20,2,4-5)","(28,3,4-5)"
56,Detergent (10L),chemicals,M,"(23,2,4-5)","(8,1,1-2)"
57,Rice Pack,food,M,"(14,3,3-4)","(30,3,4-5)"
58,Canned Tuna,food,M,"(21,1,4-5)","(33,2,1-2)"
59,Orange Juice (1L),beverages,M,"(21,2,1-2)","(13,1,1-2)"
60,Steel Drum (200L),chemicals,L,"(29,1,2-4)","(14,1,1-3)"
61,Bleach (5L),chemicals,M,"(35,3,4-5)","(10,2,1-2)"
62,Milk (1L),beverages,M,"(15,2,4-5)","(31,2,4-5)"
63,Bulk Rice Sack (100kg),food,L,"(26,1,1-3)","(27,1,1-3)"
64,Milk (1L),beverages,M,"(25,3,3-4)","(18,1,1-2)"
65,Steel Drum (200L),chemicals,L,"(8,2,3-5)","(11,2,3-5)"
66,Bulk Rice Sack (100kg),food,L,"(23,2,1-3)","(36,1,3-5)"
67,Steel Drum (200L),chemicals,L,"(13,1,1-3)","(8,1,3-5)"
68,Steel Drum (200L),chemicals,L,"(9,1,2-4)","(28,1,1-3)"
69,Dishwasher,household goods,M,"(7,1,1-2)","(30,3,2-3)"
70,Detergent (10L),chemicals,M,"(8,2,1-2)","(23,2,4-5)"
71,Canned Tuna,food,M,"(19,3,2-3)","(31,1,4-5)"
72,Rice Pack,food,M,"(20,2,1-2)","(28,2,4-5)"
73,Bleach (5L),chemicals,M,"(19,2,4-5)","(26,2,3-4)"
74,Water Bottle (500ml),beverages,S,"(11,2,1)","(36,2,2)"
75,Steel Drum (200L),chemicals,L,"(22,2,2-4)","(22,1,1-3)"
76,Milk (1L),beverages,M,"(35,2,1-2)","(36,1,1-2)"
77,Milk (1L),beverages,M,"(16,1,4-5)","(24,3,2-3)"
78,Heavy Machinery Part,household goods,L,"(21,3,2-4)","(23,2,1-3)"
79,Frozen Peas (1kg),frozen,M,"(6,2,3-4)","(3,3,1-2)"
80,Detergent (10L),chemicals,M,"(14,1,3-4)","(10,1,4-5)"
81,Frozen Pizza (500g),frozen,M,"(1,1,4-5)","(4,1,3-4)"
82,Vacuum Cleaner,household goods,M,"(29,3,1-2)","(7,1,1-2)"
83,Frozen Pizza (500g),frozen,M,"(3,1,2-3)","(2,1,4-5)"
84,Frozen Pizza (500g),frozen,M,"(3,3,1-2)","(6,2,4-5)"
85,Rice Pack,food,M,"(8,3,1-2)","(15,3,4-5)"
86,Steel Drum (200L),chemicals,L,"(30,1,1-3)","(12,1,3-5)"
87,Orange Juice (1L),beverages,M,"(12,3,4-5)","(16,1,2-3)"
88,Vacuum Cleaner,household goods,M,"(13,2,4-5)","(24,1,4-5)"
89,Orange Juice (1L),beverages,M,"(11,1,1-2)","(34,2,4-5)"
90,Vacuum Cleaner,household goods,M,"(35,1,2-3)","(32,1,4-5)"
91,Frozen Chicken Wings (2kg),frozen,M,"(4,2,4-5)","(5,1,1-2)"
92,Canned Tuna,food,M,"(23,1,1-2)","(29,3,3-4)"
93,Steel Drum (200L),chemicals,L,"(15,1,3-5)","(29,1,3-5)"
94,Blender,household goods,M,"(36,3,1-2)","(18,2,3-4)"
95,Frozen Pizza (500g),frozen,M,"(6,3,3-4)","(4,1,1-2)"
96,Steel Drum (200L),chemicals,L,"(17,2,1-3)","(19,1,1-3)"
97,Steel Drum (200L),chemicals,L,"(17,1,1-3)","(10,2,3-5)"
98,Detergent (10L),chemicals,M,"(33,1,4-5)","(10,1,2-3)"
99,Canned Tuna,food,M,"(12,3,1-2)","(27,1,4-5)"
100,Orange Juice (1L),beverages,M,"(30,1,4-5)","(34,1,4-5)"
101,Water Bottle (500ml),beverages,S,"(11,1,5)","(27,3,5)"
102,Water Bottle (500ml),beverages,S,"(20,1,1)","(34,1,3)"
103,Frozen Pizza (500g),frozen,M,"(4,3,3-4)","(3,3,4-5)"
104,Frozen Pizza (500g),frozen,M,"(2,3,1-2)","(6,1,3-4)"
105,Dishwasher,household goods,M,"(25,1,4-5)","(8,3,1-2)"
106,Water Bottle (500ml),beverages,S,"(34,3,4)","(21,3,1)"
107,Water Bottle (500ml),beverages,S,"(13,1,5)","(14,3,5)"
108,Water Bottle (500ml),beverages,S,"(17,3,1)","(7,2,5)"
109,Orange Juice (1L),beverages,M,"(26,3,4-5)","(16,2,1-2)"
110,Bulk Rice Sack (100kg),food,L,"(33,1,1-3)","(31,1,1-3)"
111,Bleach (5L),chemicals,M,"(13,2,1-2)","(26,1,3-4)"
112,Heavy Machinery Part,household goods,L,"(19,2,1-3)","(23,1,3-5)"
113,Rice Pack,food,M,"(28,3,1-2)","(30,2,1-2)"
114,Rice Pack,food,M,"(17,2,4-5)","(21,2,4-5)"
115,Detergent (10L),chemicals,M,"(25,2,1-2)","(28,1,4-5)"
116,Orange Juice (1L),beverages,M,"(13,3,1-2)","(20,2,1-2)"
117,Vacuum Cleaner,household goods,M,"(27,1,4-5)","(15,2,3-4)"
118,Heavy Machinery Part,household goods,L,"(7,3,1-3)","(30,2,3-5)"
119,Orange Juice (1L),beverages,M,"(30,3,3-4)","(29,2,3-4)"
120,Blender,household goods,M,"(33,2,1-2)","(14,3,3-4)"
121,Milk (1L),beverages,M,"(31,1,3-4)","(36,2,4-5)"
122,Orange Juice (1L),beverages,M,"(30,2,1-2)","(25,2,4-5)"
123,Bulk Rice Sack (100kg),food,L,"(26,3,1-3)","(19,2,1-3)"
124,Detergent (10L),chemicals,M,"(11,2,4-5)","(19,1,4-5)"
125,Vacuum Cleaner,household goods,M,"(32,1,4-5)","(16,1,4-5)"
126,Detergent (10L),chemicals,M,"(27,1,2-3)","(11,1,1-2)"
127,Milk (1L),beverages,M,"(8,1,1-2)","(28,3,2-3)"
128,Dishwasher,household goods,M,"(23,3,4-5)","(14,1,4-5)"
129,Frozen Peas (1kg),frozen,M,"(6,2,1-2)","(5,2,1-2)"
130,Detergent (10L),chemicals,M,"(24,1,2-3)","(15,1,1-2)"
131,Blender,household goods,M,"(11,3,1-2)","(20,2,4-5)"
132,Water Bottle (500ml),beverages,S,"(36,1,4)","(28,2,1)"
133,Blender,household goods,M,"(17,1,4-5)","(32,2,3-4)"
